Combo/MI name	Type	NID
	nhpid_ingredient	30491
	nhpid_ingredient	30492
	nhpid_ingredient	30493
	nhpid_ingredient	30494
	nhpid_ingredient	30495
	nhpid_ingredient	30496
	nhpid_ingredient	30497
	nhpid_ingredient	30498
	nhpid_ingredient	30499
	nhpid_ingredient	30500
	nhpid_ingredient	30501
	nhpid_ingredient	30502
	nhpid_ingredient	30503
	nhpid_ingredient	30504
	nhpid_ingredient	30505
	nhpid_ingredient	30506
	nhpid_ingredient	30507
	nhpid_ingredient	30508
	nhpid_ingredient	30509
	nhpid_ingredient	30510
	nhpid_ingredient	30511
	nhpid_ingredient	30512
	nhpid_ingredient	30513
	nhpid_ingredient	30514
	nhpid_ingredient	30515
	nhpid_ingredient	30516
	nhpid_ingredient	30517
	nhpid_ingredient	30518
	nhpid_ingredient	30519
	nhpid_ingredient	30520
	nhpid_ingredient	30521
	nhpid_ingredient	30522
	nhpid_ingredient	30523
	nhpid_ingredient	30524
	nhpid_ingredient	30525
	nhpid_ingredient	30526
	nhpid_ingredient	30527
	nhpid_ingredient	30528
	nhpid_ingredient	30529
	nhpid_ingredient	30530
	nhpid_ingredient	30531
	nhpid_ingredient	30532
	nhpid_ingredient	30533
	nhpid_ingredient	30534
	nhpid_ingredient	30535
	nhpid_ingredient	30536
	nhpid_ingredient	30537
	nhpid_ingredient	30538
	nhpid_ingredient	30539
	nhpid_ingredient	30540
	nhpid_ingredient	30541
	nhpid_ingredient	30542
	nhpid_ingredient	30543
	nhpid_ingredient	30544
	nhpid_ingredient	30545
	nhpid_ingredient	30546
	nhpid_ingredient	30547
	nhpid_ingredient	30548
	nhpid_ingredient	30549
	nhpid_ingredient	30550
	nhpid_ingredient	30551
	nhpid_ingredient	30552
	nhpid_ingredient	30553
	nhpid_ingredient	30554
	nhpid_ingredient	30555
	nhpid_ingredient	30556
	nhpid_ingredient	30557
	nhpid_ingredient	30558
	nhpid_ingredient	30559
	nhpid_ingredient	30560
	nhpid_ingredient	30561
	nhpid_ingredient	30562
	nhpid_ingredient	30563
	nhpid_ingredient	30564
	nhpid_ingredient	30565
	nhpid_ingredient	30566
	nhpid_ingredient	30567
	nhpid_ingredient	30568
	nhpid_ingredient	30569
	nhpid_ingredient	30570
	nhpid_ingredient	30571
	nhpid_ingredient	30572
	nhpid_ingredient	30573
	nhpid_ingredient	30574
	nhpid_ingredient	30575
	nhpid_ingredient	30576
	nhpid_ingredient	30577
	nhpid_ingredient	30578
	nhpid_ingredient	30579
	nhpid_ingredient	30580
	nhpid_ingredient	30581
	nhpid_ingredient	30582
	nhpid_ingredient	30583
	nhpid_ingredient	30584
